ts_unix,ts_iso,total,success,success_rate,p50_ms,p99_ms
1776983020,2026-04-23T22:23:40Z,100,100,1.0000,1.348,14.541
1776983021,2026-04-23T22:23:41Z,200,200,1.0000,1.319,7.398
1776983022,2026-04-23T22:23:42Z,200,200,1.0000,1.251,4.050
1776983023,2026-04-23T22:23:43Z,200,200,1.0000,1.346,7.781
1776983024,2026-04-23T22:23:44Z,200,200,1.0000,1.407,4.131
1776983025,2026-04-23T22:23:45Z,199,199,1.0000,1.428,4.413
1776983026,2026-04-23T22:23:46Z,201,201,1.0000,1.313,5.153
1776983027,2026-04-23T22:23:47Z,200,200,1.0000,1.365,5.035
1776983028,2026-04-23T22:23:48Z,200,200,1.0000,1.297,5.278
1776983029,2026-04-23T22:23:49Z,200,200,1.0000,1.228,6.145
1776983030,2026-04-23T22:23:50Z,200,166,0.8300,1.259,5.147
1776983031,2026-04-23T22:23:51Z,200,134,0.6700,1.459,4.091
1776983032,2026-04-23T22:23:52Z,200,133,0.6650,1.196,5.137
1776983033,2026-04-23T22:23:53Z,200,133,0.6650,1.572,4.496
1776983034,2026-04-23T22:23:54Z,200,134,0.6700,1.422,4.451
1776983035,2026-04-23T22:23:55Z,200,133,0.6650,1.401,3.530
1776983036,2026-04-23T22:23:56Z,200,133,0.6650,1.427,7.199
1776983037,2026-04-23T22:23:57Z,200,134,0.6700,1.521,8.993
1776983038,2026-04-23T22:23:58Z,200,133,0.6650,1.608,7.464
1776983039,2026-04-23T22:23:59Z,200,133,0.6650,1.441,6.619
1776983040,2026-04-23T22:24:00Z,200,166,0.8300,1.288,4.346
1776983041,2026-04-23T22:24:01Z,200,200,1.0000,1.201,2.839
1776983042,2026-04-23T22:24:02Z,200,200,1.0000,1.180,2.941
1776983043,2026-04-23T22:24:03Z,200,200,1.0000,1.170,3.388
1776983044,2026-04-23T22:24:04Z,200,200,1.0000,1.317,4.423
1776983045,2026-04-23T22:24:05Z,200,200,1.0000,1.278,5.370
1776983046,2026-04-23T22:24:06Z,200,200,1.0000,1.230,3.546
1776983047,2026-04-23T22:24:07Z,200,200,1.0000,1.132,2.432
1776983048,2026-04-23T22:24:08Z,200,200,1.0000,1.262,3.730
1776983049,2026-04-23T22:24:09Z,200,200,1.0000,1.252,2.834
1776983050,2026-04-23T22:24:10Z,200,166,0.8300,1.347,5.683
1776983051,2026-04-23T22:24:11Z,200,134,0.6700,1.369,5.507
1776983052,2026-04-23T22:24:12Z,200,133,0.6650,1.407,4.930
1776983053,2026-04-23T22:24:13Z,200,133,0.6650,1.418,7.077
1776983054,2026-04-23T22:24:14Z,200,134,0.6700,1.635,7.177
1776983055,2026-04-23T22:24:15Z,200,133,0.6650,1.532,6.431
1776983056,2026-04-23T22:24:16Z,200,133,0.6650,1.669,7.751
1776983057,2026-04-23T22:24:17Z,200,134,0.6700,1.386,5.852
1776983058,2026-04-23T22:24:18Z,200,133,0.6650,1.483,4.579
1776983059,2026-04-23T22:24:19Z,200,133,0.6650,1.354,5.239
1776983060,2026-04-23T22:24:20Z,200,165,0.8250,1.274,4.523
1776983061,2026-04-23T22:24:21Z,200,200,1.0000,1.234,3.647
1776983062,2026-04-23T22:24:22Z,200,200,1.0000,1.257,3.035
1776983063,2026-04-23T22:24:23Z,199,199,1.0000,1.340,6.077
1776983064,2026-04-23T22:24:24Z,201,201,1.0000,1.291,4.680
1776983065,2026-04-23T22:24:25Z,200,200,1.0000,1.215,3.362
1776983066,2026-04-23T22:24:26Z,200,200,1.0000,1.286,6.295
1776983067,2026-04-23T22:24:27Z,200,200,1.0000,1.190,4.888
1776983068,2026-04-23T22:24:28Z,200,200,1.0000,1.251,3.000
1776983069,2026-04-23T22:24:29Z,200,200,1.0000,1.279,3.405
1776983070,2026-04-23T22:24:30Z,200,166,0.8300,1.243,5.987
1776983071,2026-04-23T22:24:31Z,200,133,0.6650,1.343,5.022
1776983072,2026-04-23T22:24:32Z,200,134,0.6700,1.410,4.428
1776983073,2026-04-23T22:24:33Z,200,133,0.6650,1.488,3.909
1776983074,2026-04-23T22:24:34Z,200,133,0.6650,1.449,5.461
1776983075,2026-04-23T22:24:35Z,199,133,0.6683,1.575,7.481
1776983076,2026-04-23T22:24:36Z,201,134,0.6667,1.447,4.454
1776983077,2026-04-23T22:24:37Z,200,133,0.6650,1.507,5.486
1776983078,2026-04-23T22:24:38Z,200,134,0.6700,1.483,3.632
1776983079,2026-04-23T22:24:39Z,200,133,0.6650,1.520,4.754
1776983080,2026-04-23T22:24:40Z,100,67,0.6700,1.697,5.786
